Ecoregions;Insect_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Insect;lower_Richness_Insect;upperr_Richness_Insect
NAP;49;1.387530393;1.27;5.422415507;5.280412527;5.564418487
CPL;7;0.391885379;1.271;5.423490532;5.281420272;5.565560793
UMW;8;0.953431757;1.272;5.424565558;5.282427824;5.566703292
WMT;40;1.518753439;1.273;5.425640584;5.283435181;5.567845986
WMT;17;0.953431757;1.277;5.429940686;5.28746268;5.572418692
WMT;23;1.023821273;1.279;5.432090737;5.289475274;5.574706201
UMW;18;1.147195883;1.281;5.434240789;5.291487101;5.576994477
TPL;10;0.915550072;1.283;5.43639084;5.293498162;5.579283518
NAP;21;1.334375737;1.287;5.440690943;5.297517999;5.583863886
NAP;25;1.300543977;1.288;5.441765968;5.298522483;5.585009453
CPL;32;0.989464802;1.289;5.442840994;5.299526778;5.586155209
SAP;55;0.833406499;1.29;5.44391602;5.300530884;5.587301155
SAP;27;0.811359163;1.292;5.446066071;5.302538531;5.589593611
UMW;24;1.300543977;1.298;5.452516225;5.308556961;5.596475488
XER;34;0.895854746;1.301;5.455741302;5.311563655;5.599918948
XER;23;0.989464802;1.302;5.456816327;5.312565514;5.60106714
WMT;40;1.072533273;1.303;5.457891353;5.313567188;5.602215517
SAP;28;0.875619756;1.308;5.463266481;5.318572788;5.607960174
SAP;32;0.971668015;1.311;5.466491558;5.321573941;5.611409175
SAP;27;0.953431757;1.312;5.467566584;5.32257396;5.612559208
SAP;27;0.953431757;1.313;5.468641609;5.323573795;5.613709423
CPL;4;1.056650275;1.319;5.475091763;5.329568993;5.620614533
UMW;37;1.175068282;1.323;5.479391866;5.333562176;5.625221556
WMT;31;1.366725329;1.334;5.491217148;5.344528681;5.637905614
SAP;37;0.915550072;1.335;5.492292173;5.345524573;5.639059774
WMT;39;1.175068282;1.344;5.501967404;5.354479711;5.649455097
CPL;56;1.188619689;1.345;5.50304243;5.355473855;5.650611004
NAP;46;1.265087684;1.346;5.504117455;5.356467826;5.651767084
XER;36;1.323269799;1.347;5.505192481;5.357461624;5.652923337
CPL;12;1.006842803;1.353;5.511642635;5.3634208;5.65986447
TPL;41;0.934733772;1.356;5.514867712;5.366398077;5.663337347
SAP;23;1.161263564;1.357;5.515942737;5.367390162;5.664495313
WMT;47;1.356098801;1.36;5.519167814;5.3703654;5.667970228
WMT;30;1.006842803;1.361;5.52024284;5.371356808;5.669128872
SAP;28;1.132855025;1.363;5.522392891;5.373339119;5.671446664
NAP;46;1.147195883;1.367;5.526692994;5.377301725;5.676084262
TPL;14;0.663157646;1.371;5.530993096;5.381261662;5.680724531
TPL;18;0.663157646;1.377;5.53744325;5.387196599;5.687689901
TPL;36;0.674018591;1.382;5.542818378;5.392137865;5.693498891
WMT;22;0.971668015;1.387;5.548193506;5.397075066;5.699311947
TPL;23;1.103309848;1.388;5.549268532;5.398062021;5.700475043
