Ecoregions;Insect_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Insect;lower_Replacement_Insect;upperr_Replacement_Insect
WMT;0.001344442;1.323269799;1.131;-9.978363486;-10.31323739;-9.643489581
WMT;0.001628202;0.854814692;1.133;-9.977604004;-10.31249166;-9.64271635
WMT;0.000794528;1.103309848;1.138;-9.9757053;-10.31062808;-9.640782522
CPL;0.000980167;0.854814692;1.14;-9.974945818;-10.30988294;-9.640008692
SAP;0.000845093;1.040418172;1.142;-9.974186336;-10.30913798;-9.63923469
SAP;0.000860027;1.161263564;1.146;-9.972667372;-10.30764857;-9.637686173
CPL;0.001117704;0.477554166;1.147;-9.972287631;-10.30727633;-9.637298937
CPL;0.000440664;0.36370912;1.153;-9.970009186;-10.30504375;-9.634974622
SAP;0.000927091;0.8334065;1.158;-9.968110481;-10.30318445;-9.633036517
SAP;0.000504971;0.740969646;1.161;-9.966971259;-10.30206938;-9.631873141
TPL;0.000998543;0.321495863;1.166;-9.965072554;-10.30021178;-9.629933327
TPL;0.000862089;1.098990942;1.167;-9.964692813;-10.29984039;-9.629545236
SPL;0.000876197;1.118230173;1.169;-9.963933331;-10.29909774;-9.628768926
SAP;0.000580548;1.37720112;1.171;-9.963173849;-10.29835525;-9.627992445
CPL;0.000227804;1.088081867;1.172;-9.962794108;-10.29798408;-9.627604141
SAP;0.000831362;0.635285246;1.174;-9.962034627;-10.29724185;-9.626827404
WMT;0.001074176;1.221448691;1.175;-9.961654886;-10.2968708;-9.626438971
WMT;0.001344825;1.094210789;1.176;-9.961275145;-10.29649979;-9.626050496
SAP;0.000659529;1.323269799;1.181;-9.95937644;-10.2946454;-9.624107479
NAP;0.001319197;0.8334065;1.183;-9.958616958;-10.29390394;-9.623329974
WMT;0.002166275;1.118230173;1.185;-9.957857476;-10.29316265;-9.622552298
CPL;0.001032287;0.934733772;1.187;-9.957097995;-10.29242154;-9.621774452
NAP;0.000999246;1.298232454;1.189;-9.956338513;-10.29168059;-9.620996435
SAP;0.000756819;1.147195883;1.198;-9.952920844;-10.28834844;-9.617493249
WMT;0.001334175;1.265087683;1.201;-9.951781622;-10.28723849;-9.616324753
WMT;0.00088725;1.214998598;1.202;-9.951401881;-10.28686859;-9.615935169
NAP;0.001032603;1.188619689;1.205;-9.950262658;-10.28575915;-9.614766162
CPL;6.44E-05;1.300543977;1.206;-9.949882917;-10.28538943;-9.614376408
TPL;0.001625643;0.953431757;1.208;-9.949123435;-10.2846501;-9.613596772
