Ecoregions;Fish_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Fish;lower_Richness_Fish;upperr_Richness_Fish
SPL;4;0.744828303;;;;
NPL;2;1.283747161;;;;
SPL;13;0.815584379;;;;
SPL;10;0.638593544;;;;
SPL;7;0.994617518;;;;
NPL;7;0.976728052;;;;
SPL;3;1.045836231;;;;
SPL;5;1.045836231;;;;
SPL;12;0.666611092;;;;
SPL;19;1.051286322;;;;
NPL;10;0.880179615;;;;
SPL;10;1.109055421;;;;
NPL;2;0.837746529;;;;
TPL;5;0.514576452;;;;
NAP;14;0.976728052;;;;
NAP;14;0.744828304;;;;
NAP;12;1.093748138;;;;
NAP;13;1.137297387;;;;
NAP;14;0.837746529;;;;
NAP;15;1.012086015;;;;
NAP;7;0.79274021;;;;
NAP;13;0.880179615;;;;
NAP;11;0.880179615;;;;
NAP;3;0.994617518;;;;
SAP;2;0.69360959;;;;
SAP;20;1.062152864;;;;
SAP;23;1.138754457;;;;
SAP;8;1.029152902;;;;
SAP;10;0.859266207;;;;
SAP;5;1.167310935;;;;
WMT;29;1.363160791;;;;
WMT;2;1.295625445;;;;
WMT;59;1.363160791;;;;
WMT;34;1.509193969;;;;
WMT;1;1.295625445;;;;
WMT;5;1.283747162;;;;
SPL;7;1.006888489;;;;
XER;1;1.181187542;;;;
XER;33;1.491304503;;;;
XER;3;1.271675727;;;;
XER;1;1.254439004;;;;
XER;4;1.181187542;;;;
XER;3;1.283747162;;;;
XER;3;1.258166428;;;;
XER;20;1.341324603;;;;
XER;3;1.304993101;;;;
XER;3;1.029152902;;;;
XER;2;0.787566831;;;;
XER;11;1.388716941;;;;
XER;3;1.045836231;;;;
XER;3;0.815584379;;;;
XER;4;0.815584379;;;;
NAP;3;1.35232298;;;;
NAP;1;0.719660575;;;;
NAP;7;1.194809519;;;;
NAP;4;1.193458514;;;;
NAP;11;1.341324603;;;;
NAP;5;0.666611091;;;;
NAP;13;1.259404755;;;;
NAP;21;0.744828303;;;;
NAP;3;0.994617518;;;;
NAP;27;0.815584379;;;;
NAP;23;1.138754457;;;;
NAP;16;1.415096431;;;;
NAP;17;0.792740211;;;;
NAP;16;1.350501196;;;;
NAP;10;1.404995909;;;;
NAP;14;1.444598733;;;;
NAP;20;0.994617518;;;;
NAP;29;0.939601472;;;;
NAP;33;0.815584379;;;;
NAP;17;1.029152902;;;;
NAP;25;0.90051998;;;;
NAP;16;1.234237026;;;;
NAP;20;0.69360959;;;;
NAP;20;1.240609399;;;;
NAP;7;1.370299086;;;;
NAP;17;1.138754457;;;;
NAP;16;1.425061371;;;;
NAP;15;1.341324603;;;;
NAP;5;1.434894322;;;;
NAP;19;0.764365665;;;;
TPL;10;0.939601472;;;;
NAP;22;1.10905542;;;;
NAP;12;1.251943618;;;;
SAP;34;0.729830281;;;;
SAP;27;0.79274021;;;;
SAP;26;0.609476993;;;;
TPL;35;0.69360959;;;;
SAP;26;0.79274021;;;;
SAP;20;0.69360959;;;;
TPL;26;0.815584379;;;;
NAP;22;0.69360959;;;;
TPL;26;1.116592307;;;;
TPL;24;0.698893434;;;;
TPL;29;1.062152864;;;;
NAP;26;1.012086015;;;;
TPL;23;0.79274021;;;;
NAP;18;1.113586728;;;;
SPL;16;0.514576451;;;;
SPL;23;0.958396827;;;;
SPL;9;1.10905542;;;;
TPL;7;0.958396827;;;;
SPL;21;0.230251853;;;;
SPL;9;0.365603164;;;;
SPL;5;0.443820376;;;;
SPL;18;0.514576452;;;;
SPL;21;0.994617518;;;;
SPL;11;0.769170711;;;;
SPL;7;0.880179615;;;;
SPL;15;0.579171687;;;;
SPL;15;1.181187542;;;;
WMT;5;0.920317871;;;;
WMT;2;1.07336481;;;;
WMT;1;0.666611091;;;;
WMT;6;1.124053444;;;;
WMT;3;0.769170711;;;;
WMT;7;1.045836231;;;;
WMT;7;0.715667758;;;;
WMT;4;0.69360959;;;;
WMT;7;0.76917071;;;;
WMT;8;0.719660575;;;;
WMT;5;0.638593544;;;;
WMT;1;1.124053444;;;;
WMT;5;0.638593544;;;;
WMT;3;0.875006236;;;;
WMT;2;0.976728052;;;;
WMT;1;0.779363688;;;;
WMT;9;0.939601472;;;;
WMT;1;1.246927538;;;;
WMT;3;0.930022282;;;;
WMT;7;0.859266207;;;;
WMT;3;1.124053444;;;;
WMT;8;0.744828304;;;;
WMT;2;1.062152864;;;;
NAP;4;1.153169995;;;;
SAP;7;1.219151926;;;;
SAP;3;1.167310935;;;;
NAP;10;0.719660575;;;;
SAP;6;1.246927538;;;;
SAP;14;1.137297386;;;;
NAP;10;0.939601471;;;;
NAP;12;0.638593544;;;;
TPL;10;0.638593544;;;;
TPL;11;0.443820376;;;;
TPL;8;0.994617518;;;;
SAP;22;0.930022282;;;;
TPL;12;0.920317871;;;;
TPL;21;0.815584379;;;;
TPL;28;0.69360959;;;;
TPL;23;0.90051998;;;;
TPL;31;0.976728052;;;;
TPL;12;0.815584379;;;;
TPL;7;0.638593544;;;;
TPL;18;0.480041067;;;;
TPL;19;0.547576413;;;;
CPL;18;1.307316662;;;;
UMW;19;0.958396827;;;;
UMW;27;0.90051998;;;;
UMW;3;1.259404755;;;;
UMW;17;1.259404755;;;;
UMW;12;1.318826611;;;;
SAP;22;1.078118573;;;;
SAP;13;0.480041067;;;;
NPL;10;0.443820376;;;;
NPL;8;0.638593544;;;;
TPL;10;1.045836231;;;;
TPL;4;1.137297387;;;;
SPL;15;0.480041067;;;;
SPL;8;0.27816376;;;;
SPL;2;0.79274021;;;;
SPL;2;1.093748138;;;;
SPL;5;1.208186041;;;;
SPL;5;1.35232298;;;;
XER;2;1.208186041;;;;
XER;3;0.880179615;;;;
SPL;9;1.208186041;;;;
NAP;18;1.307316662;;;;
NAP;14;1.194809519;;;;
NAP;7;0.744828303;;;;
TPL;37;0.837746529;;;;
