Ecoregions;Fish_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Fish;lower_Replacement_Fish;upperr_Replacement_Fish
SAP;0.001427512;1.271675727;1.245;-9.6768009;-9.94739172;-9.40621008
TPL;0.001169895;0.638593544;1.246;-9.675704411;-9.946324681;-9.40508414
SAP;0.001108299;0.769170711;1.247;-9.674607921;-9.945257747;-9.403958095
TPL;0.001654247;0.994617518;1.248;-9.673511431;-9.94419092;-9.402831943
TPL;0.001716604;0.514576451;1.249;-9.672414942;-9.943124199;-9.401705685
TPL;0.001835613;0.994617518;1.252;-9.669125473;-9.93992467;-9.398326277
TPL;0.001362996;0.839926785;1.254;-9.666932494;-9.93779218;-9.396072809
TPL;0.001154643;0.920317871;1.256;-9.664739515;-9.935660113;-9.393818918
SAP;0.0016019;0.638593544;1.258;-9.662546536;-9.933528468;-9.391564604
CPL;0.001083405;0.514576452;1.259;-9.661450047;-9.932462804;-9.390437289
CPL;0.000718297;0.859266206;1.261;-9.659257068;-9.930331793;-9.388182342
CPL;0.001166053;0.230251853;1.263;-9.657064088;-9.928201205;-9.385926972
CPL;0.000753265;0.859266207;1.266;-9.65377462;-9.925006112;-9.382543128
CPL;0.002060091;0.547576413;1.268;-9.651581641;-9.922876577;-9.380286705
CPL;0.001343193;0.230251853;1.269;-9.650485151;-9.921811967;-9.379158335
CPL;0.001222558;0.69360959;1.27;-9.649388662;-9.920747462;-9.378029861
CPL;0.001189076;0.792740211;1.272;-9.647195683;-9.918618769;-9.375772596
CPL;0.001394672;0.230251853;1.273;-9.646099193;-9.91755458;-9.374643806
CPL;0.00139612;0.365603164;1.275;-9.643906214;-9.915426517;-9.372385911
CPL;0.001083334;0.958396827;1.277;-9.641713235;-9.913298873;-9.370127597
CPL;0.001278007;0.579171687;1.278;-9.640616745;-9.912235209;-9.368998282
CPL;0.001172687;0.230251853;1.279;-9.639520256;-9.91117165;-9.367868862
CPL;0.000879229;0.837746529;1.28;-9.638423766;-9.910108195;-9.366739338
NPL;0.001967936;1.394756066;1.284;-9.634037808;-9.905855424;-9.362220192
WMT;0.0019353;1.444598733;1.286;-9.631844829;-9.903729667;-9.359959991
WMT;0.00170153;1.434894322;1.288;-9.62965185;-9.901604328;-9.357699372
WMT;0.000745268;1.158926196;1.289;-9.62855536;-9.900541815;-9.356568906
