Ecoregions;Fish_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Fish;lower_Density_Fish;upperr_Density_Fish
NAP;1212;0.837746529;;;;
NAP;504;1.012086015;;;;
NAP;226;0.79274021;;;;
NAP;594;0.880179615;;;;
NAP;492;0.880179615;;;;
NAP;24;0.994617518;;;;
SAP;1214;0.69360959;;;;
SAP;477;1.062152864;;;;
SAP;490;1.138754457;;;;
SAP;218;1.029152902;;;;
SAP;1424;0.859266207;;;;
SAP;436;1.167310935;;;;
WMT;71;1.363160791;;;;
WMT;37;1.295625445;;;;
WMT;125;1.363160791;;;;
WMT;510;1.509193969;;;;
WMT;14;1.295625445;;;;
WMT;383;1.283747162;;;;
SPL;154;1.006888489;;;;
XER;1;1.181187542;;;;
XER;562;1.491304503;;;;
XER;167;1.271675727;;;;
XER;27;1.254439004;;;;
XER;25;1.181187542;;;;
XER;46;1.283747162;;;;
XER;32;1.258166428;;;;
XER;3;1.341324603;;;;
XER;49;1.304993101;;;;
XER;25;1.029152902;;;;
XER;28;0.787566831;;;;
XER;15;1.388716941;;;;
XER;102;1.045836231;;;;
XER;6;0.815584379;;;;
XER;50;0.815584379;;;;
NAP;272;1.35232298;;;;
NAP;123;0.719660575;;;;
NAP;124;1.194809519;;;;
NAP;106;1.193458514;;;;
NAP;199;1.341324603;;;;
NAP;92;0.666611091;;;;
NAP;308;1.259404755;;;;
NAP;216;0.744828303;;;;
NAP;41;0.994617518;;;;
NAP;520;0.815584379;;;;
NAP;792;1.138754457;;;;
NAP;501;1.415096431;;;;
NAP;694;0.792740211;;;;
NAP;531;1.350501196;;;;
NAP;450;1.404995909;;;;
NAP;726;1.444598733;;;;
NAP;409;0.994617518;;;;
NAP;513;0.939601472;;;;
NAP;603;0.815584379;;;;
NAP;632;1.029152902;;;;
NAP;992;0.90051998;;;;
NAP;330;1.234237026;;;;
NAP;486;0.69360959;;;;
NAP;578;1.240609399;;;;
NAP;285;1.370299086;;;;
NAP;537;1.138754457;;;;
NAP;217;1.425061371;;;;
NAP;1177;1.341324603;;;;
NAP;387;1.434894322;;;;
NAP;1112;0.764365665;;;;
TPL;770;0.939601472;;;;
NAP;663;1.10905542;;;;
NAP;112;1.251943618;;;;
SAP;524;0.729830281;;;;
SAP;527;0.79274021;;;;
SAP;492;0.609476993;;;;
TPL;687;0.69360959;;;;
SAP;793;0.79274021;;;;
SAP;686;0.69360959;;;;
TPL;530;0.815584379;;;;
NAP;666;0.69360959;;;;
TPL;829;1.116592307;;;;
TPL;615;0.698893434;;;;
TPL;946;1.062152864;;;;
NAP;809;1.012086015;;;;
TPL;739;0.79274021;;;;
NAP;461;1.113586728;;;;
SPL;391;0.514576451;;;;
SPL;461;0.958396827;;;;
SPL;104;1.10905542;;;;
TPL;55;0.958396827;;;;
SPL;783;0.230251853;;;;
SPL;63;0.365603164;;;;
SPL;15;0.443820376;;;;
SPL;573;0.514576452;;;;
SPL;482;0.994617518;;;;
SPL;64;0.769170711;;;;
SPL;349;0.880179615;;;;
SPL;302;0.579171687;;;;
SPL;649;1.181187542;;;;
WMT;80;0.920317871;;;;
WMT;88;1.07336481;;;;
WMT;14;0.666611091;;;;
WMT;120;1.124053444;;;;
WMT;48;0.769170711;;;;
WMT;109;1.045836231;;;;
WMT;109;0.715667758;;;;
WMT;109;0.69360959;;;;
WMT;41;0.76917071;;;;
WMT;141;0.719660575;;;;
WMT;69;0.638593544;;;;
