Ecoregions;Fish_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Fish;lower_RichnessDiff_Fish;upperr_RichnessDiff_fish
NPL;0.000900319;0.609476993;1.445;-10.00212164;-10.30374367;-9.700499616
TPL;0.00129502;0.709349619;1.454;-10.00483261;-10.30658771;-9.703077505
NPL;0.001068896;0.609476993;1.462;-10.00724236;-10.30911782;-9.705366886
NPL;0.00097334;0.487077867;1.464;-10.00784479;-10.30975066;-9.705938927
NPL;0.000933358;0.837746529;1.471;-10.00995332;-10.31196653;-9.707940109
TPL;0.001005576;0.704139935;1.473;-10.01055576;-10.31259991;-9.708511602
NPL;0.002649872;0.92031787;1.482;-10.01326672;-10.31545164;-9.711081812
NPL;0.001133472;0.769170711;1.491;-10.01597769;-10.31830582;-9.713649562
NPL;0.001048376;0.842100658;1.501;-10.01898987;-10.32148001;-9.716499735
TPL;0.001014011;0.579171687;1.509;-10.02139962;-10.32402155;-9.718777692
TPL;0.000970238;0.79274021;1.518;-10.02411059;-10.3268831;-9.72133808
SPL;0.002759016;1.21478499;1.527;-10.02682155;-10.32974709;-9.723896021
SPL;0.001666264;0.744828303;;;;
NPL;0.002659457;1.283747161;;;;
SPL;0.000897449;0.815584379;;;;
SPL;0.000938627;0.638593544;;;;
SPL;0.001134699;0.994617518;;;;
NPL;0.001184903;0.976728052;;;;
SPL;0.00216258;1.045836231;;;;
SPL;0.001523973;1.045836231;;;;
SPL;0.000918489;0.666611092;;;;
SPL;0.00107663;1.051286322;;;;
NPL;0.00098262;0.880179615;;;;
SPL;0.000962501;1.109055421;;;;
NPL;0.002777459;0.837746529;;;;
TPL;0.001486129;0.514576452;;;;
NAP;0.00088299;0.976728052;;;;
NAP;0.000855931;0.744828304;;;;
NAP;0.000875973;1.093748138;;;;
NAP;0.000873803;1.137297387;;;;
NAP;0.000876039;0.837746529;;;;
NAP;0.000879521;1.012086015;;;;
NAP;0.001161885;0.79274021;;;;
NAP;0.000865612;0.880179615;;;;
NAP;0.00088142;0.880179615;;;;
NAP;0.002130598;0.994617518;;;;
